texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1
"Salmonella Poona, Salmonella Oranienburg, Salmonella Minnesota and Salmonella Saintpaul in black pepper from Brazil | herbs and spices | Salmonella Minnesota  - {pathogenic micro-organisms},Salmonella Oranienburg  - {pathogenic micro-organisms},Salmonella Saintpaul  - {pathogenic micro-organisms},Salmonella poona  - {pathogenic micro-organisms} | Brazil",CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
Salmonella group E1 O-form in black pepper from Brazil  | herbs and spices | Salmonella   - {pathogenic micro-organisms} | Brazil,CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
"Tropane alkaloids in infusion | cocoa and cocoa preparations, coffee and tea | atropine   - {natural toxins (other)},scopolamine   - {natural toxins (other)} | Netherlands",INFO,"cocoa and cocoa preparations, coffee and tea",information notification for follow-up,undecided,Netherlands,2021,11,0
mercury (1.3 mg/kg - ppm) in defrosted swordfish from Spain | fish and fish products | mercury   - {heavy metals} | Spain,CRITIQUE,fish and fish products,information notification for attention,serious,Spain,2021,11,1
metal fragment in dumplings from Poland | other food product / mixed |  | Poland,CRITIQUE,other food product / mixed,alert notification,serious,Poland,2021,11,0
Salmonella enterica ser. Typhimurium in chilled turkey thighs from Poland | poultry meat and poultry meat products | Salmonella typhimurium  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2021,11,0
propiconazole in orange from South Africa  | fruits and vegetables | propiconazole   - {pesticide residues} | South Africa,INFO,fruits and vegetables,information notification for attention,undecided,South Africa,2021,11,1
"Aflatoxins and tropane alkaloids in organic flaxseed meal from Germany, with raw material from Hungary | cereals and bakery products | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins},atropine   - {natural toxins (other)} | Hungary",CRITIQUE,cereals and bakery products,alert notification,serious,Hungary,2021,11,1
metal piece in feed for dogs | compound feeds |  | Germany,CRITIQUE,compound feeds,alert notification,serious,Germany,2021,11,0
"unauthorised used of bamboo in plastic  | food contact materials | formaldehyde  migration - {migration},melamine  migration - {migration} | China",INFO,food contact materials,information notification for follow-up,not serious,China,2021,11,0
"DIMETOATO E OMETOATO EM PITAIAS | fruits and vegetables | dimethoate   - {pesticide residues},omethoate   - {pesticide residues} | Ecuador",CRITIQUE,fruits and vegetables,border rejection notification,undecided,Ecuador,2021,11,1
"mold - sheepskin growth on the surface and in the depth of the material, discoloration, change in structure to spongy, disgusting smell of mold and rotting of the feed material | feed materials | moulds  infested with - {non-pathogenic micro-organisms} | Ukraine",CRITIQUE,feed materials,border rejection notification,not serious,Ukraine,2021,11,0
Loroco from El Salvador | other food product / mixed |  | El Salvador,CRITIQUE,other food product / mixed,border rejection notification,undecided,El Salvador,2021,11,0
"Aflatoxins in figs from Turkey | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
microbiological contamination (mould) of white beans from Poland | fruits and vegetables | moulds  infested with - {non-pathogenic micro-organisms} | Poland,INFO,fruits and vegetables,information notification for follow-up,not serious,Poland,2021,11,1
Salmonella enterica ser. Derby (in 1 out of 5 samples /25g) in chilled chicken meat from Poland | poultry meat and poultry meat products | Salmonella Derby  - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for attention,not serious,Poland,2021,11,0
Salmonella enterica ser. Derby and Salmonella enterica ser. Infantis in chilled chicken meat from Poland | poultry meat and poultry meat products | Salmonella Derby  - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for follow-up,not serious,Poland,2021,11,0
"Aflatoxins in dried figs from Turkey | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
"formetanate in mangoes from Brazil, via the Netherlands | fruits and vegetables | formetanate   - {pesticide residues} | Brazil",CRITIQUE,fruits and vegetables,alert notification,serious,Brazil,2021,11,1
Salmonella in chicken meat preparation from Thailand | poultry meat and poultry meat products | Salmonella  enteritidis  - {pathogenic micro-organisms} | Thailand,CRITIQUE,poultry meat and poultry meat products,border rejection notification,serious,Thailand,2021,11,0
arsenic (11.2 mg/kg - ppm) in frozen cod (Gadus Morhua) from Russia | fish and fish products | arsenic   - {heavy metals} | Russia,INFO,fish and fish products,information notification for attention,undecided,Russia,2021,11,1
"unauthorised use of bamboo in tableware | food contact materials | formaldehyde  migration - {migration},melamine  migration - {migration} | China",INFO,food contact materials,information notification for follow-up,not serious,China,2021,11,0
dried beet pulp from Ukraine infested with moulds | feed materials | moulds  infested with - {non-pathogenic micro-organisms} | Ukraine,CRITIQUE,feed materials,border rejection notification,not serious,Ukraine,2021,11,0
unauthorised use of rice husks in rice husks fibres lunch boxes offered online for sale | food contact materials |  | Switzerland,INFO,food contact materials,information notification for follow-up,undecided,Switzerland,2021,11,0
CHLORPYRIFOS IN MANDARINES | fruits and vegetables | chlorpyrifos-methyl   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,undecided,Türkiye,2021,11,1
unauthorised substance chlorpyrifos (0.135 mg/kg - ppm) in mandarines from Turkey | fruits and vegetables | chlorpyrifos   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,undecided,Türkiye,2021,11,1
Fenvalerate in mandarines from Turkey  | fruits and vegetables | fenvalerate   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
"Salmonella Bareilly and Bacillus cereus (enterotoxin) in Tumeric | herbs and spices | Bacillus cereus enterotoxin producing  - {pathogenic micro-organisms},Salmonella  enteritidis  - {pathogenic micro-organisms} | Bosnia and Herzegovina",CRITIQUE,herbs and spices,information notification for attention,serious,Bosnia and Herzegovina,2021,11,1
Salmonella Enteritidis in official samples of chicken neck skins from Poland | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2021,11,0
Mites in dry cake from Sweden | confectionery |  | Sweden,INFO,confectionery,information notification for follow-up,not serious,Sweden,2021,11,0
Salmonella Infantis in chicken cutlets from Austria | poultry meat and poultry meat products | Salmonella spp.  - {pathogenic micro-organisms} | Italy,CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Italy,2021,11,0
too high content of nitrate (3835 mg/kg - ppm) in spinach from Italy | fruits and vegetables | nitrate  too high content - {environmental pollutants} | Italy,INFO,fruits and vegetables,information notification for attention,not serious,Italy,2021,11,1
"Too high content of vitamins in 2 food supplements from the Netherlands | dietetic foods, food supplements and fortified foods |  | Netherlands",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,undecided,Netherlands,2021,11,1
"unauthorised substance ethylene oxide in food supplement with Moringa powder | dietetic foods, food supplements and fortified foods | ethylene oxide   - {pesticide residues} | Germany",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,undecided,Germany,2021,11,1
Salmonella Enteritidis in poultry meat (guinea fowl and chicken) | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | France,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,France,2021,11,0
"poor temperature control (-10,2ºC) of Octopus vulgaris from Mauritania | cephalopods and products thereof |  | Mauritania",CRITIQUE,cephalopods and products thereof,border rejection notification,not serious,Mauritania,2021,11,0
aflatoxins in dried figs from Turkey | fruits and vegetables | aflatoxin total  - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
"traces of gluten (>25 mg/kg - ppm), mustard (>40 mg/kg - ppm) and lupin (5-360 mg/kg - ppm) in spicemix from the Netherlands | herbs and spices | gluten  too high content - {allergens},mustard  traces - {allergens} | Netherlands",CRITIQUE,herbs and spices,alert notification,serious,Netherlands,2021,11,1
Fenvalerate in mandarines from Turkey  | fruits and vegetables | fenvalerate   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Türkiye,2021,11,1
unauthorised substance heptachlor in butternut Bio | fruits and vegetables | heptachlor  prohibited substance - {pesticide residues} | Belgium,CRITIQUE,fruits and vegetables,alert notification,undecided,Belgium,2021,11,1
unauthorised use of lignocellulose in cups from Australia via Sweden | food contact materials |  | Australia,INFO,food contact materials,information notification for follow-up,not serious,Australia,2021,11,0
Allergen soya is undeclared on various types of noodles from the Philippines  | prepared dishes and snacks | soya  undeclared - {allergens} | Philippines,CRITIQUE,prepared dishes and snacks,alert notification,serious,Philippines,2021,11,0
"Too high content of THC and Novel Food in CBD oildrops 18% | dietetic foods, food supplements and fortified foods | cannabidiol (CBD)  unauthorised novel food ingredient - {novel food},tetrahydrocanabinol (THC)   - {biological contaminants} | Switzerland",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Switzerland,2021,11,1
"High content of volatile constituents (1,26%) in silicon kitchen set with wooden handles from China | food contact materials | volatile organic constituents  high content - {migration} | China",INFO,food contact materials,information notification for attention,not serious,China,2021,11,0
Listeria monocitogenes in baccalà mantecato //Listeria monocytogenes in whipped codfish | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Croatia,CRITIQUE,fish and fish products,alert notification,serious,Croatia,2021,11,1
"mold - sheepskin growth on the surface and in the depth of the material, discoloration, change in structure to spongy, disgusting smell of mold and rotting of the feed material  | feed materials | moulds  infested with - {non-pathogenic micro-organisms} | ",CRITIQUE,feed materials,border rejection notification,not serious,,2021,11,0
"perchlorate (3.8 mg/kg - ppm) and unauthorised substance chlorate (1.16 mg/kg - ppm) in organic powdered kale from the United Kingdom | fruits and vegetables | chlorate  unauthorised substance - {pesticide residues},perchlorate   - {environmental pollutants} | United Kingdom",CRITIQUE,fruits and vegetables,border rejection notification,undecided,United Kingdom,2021,11,1
